Id,X,Y,Rotation
15,8000,0,1
15,4000,-8000,1
15,5500,-3700,1
15,9500,4300,0
15,9500,5800,0
15,5500,-8000,1
15,13800,4300,0
15,8000,4300,1
15,9500,0,1
15,4000,12000,1
15,13800,5800,0
15,9500,7300,1
15,4000,-3700,1
15,5500,12000,1
13,0,8000,0
13,0,0,1
13,1500,0,1
13,0,9500,0
13,-8000,4000,0
13,-8000,5500,0
13,-3700,6500,0
11,4000,600,0
11,5000,16300,1
11,18100,4300,1
11,4300,8000,0
11,6500,16300,1
11,4000,2100,0
9,600,6000,0
5,1500,4300,0
3,7600,9000,0
11,4300,9500,0
3,7600,10500,0
1,0,4300,0
9,-3700,4000,0
