Id,X,Y,Rotation
3,0,4000,270
3,1400,4000,270
3,2800,0,0
6,6800,3000,270
6,7750,3000,270
6,9650,3000,270
6,10600,3000,270
6,11550,3000,270
6,12500,3000,270
6,13450,3000,270
3,14400,4000,270
3,15800,4000,270
3,17200,4000,270
3,18600,4000,270
3,24000,4000,270
3,25400,0,0
3,30800,4000,270
3,32200,4000,270
3,33600,4000,270
3,35000,4000,270
6,38750,3000,270
6,39700,3000,270
6,40650,3000,270
6,41600,3000,270
6,42550,3000,270
6,43500,3000,270
3,44450,4000,270
3,45850,4000,270
3,47250,4000,270
3,48650,4000,270
6,50050,3000,270
6,51000,3000,270
6,51950,3000,270
6,52900,3000,270
6,54800,3000,270
6,55750,0,0
6,58750,3100,270
3,1400,8000,270
3,2800,8000,270
3,5600,8000,270
6,7000,7000,270
6,7950,7000,270
6,9850,7000,270
6,10800,7000,270
6,11750,7000,270
6,12700,7000,270
6,13650,7000,270
3,14600,8000,270
3,16000,8000,270
3,18800,8000,270
3,20200,8000,270
3,21600,8000,270
3,23000,8000,270
3,24400,8000,270
3,28600,8000,270
3,30000,8000,270
3,31400,8000,270
3,32800,8000,270
3,34200,8000,270
3,35600,8000,270
6,37950,7000,270
6,38900,7000,270
6,39850,7000,270
6,41750,7000,270
6,42700,7000,270
6,52050,7000,270
6,53950,7000,270
6,54900,7000,270
6,55850,7000,270
6,14000,11000,270
3,14950,12000,270
3,16350,12000,270
3,17750,12000,270
3,19150,8000,0
3,23150,12000,270
3,24550,12000,270
3,25950,12000,270
3,27350,12000,270
3,28750,12000,270
3,31550,12000,270
3,34250,12000,270
6,14000,15000,270
3,14950,16000,270
3,17750,16000,270
3,19150,16000,270
3,21950,16000,270
3,23350,16000,270
3,24750,16000,270
3,26150,16000,270
3,27550,16000,270
3,28950,16000,270
3,30350,16000,270
3,31750,16000,270
3,0,20000,270
3,1400,20000,270
6,6800,19000,270
6,7750,19000,270
6,11700,19000,270
6,13600,19100,270
3,14550,20000,270
6,15950,19000,270
6,16900,16000,0
3,21300,20000,270
3,24100,20000,270
3,26400,20000,270
3,27800,20000,270
3,29200,20000,270
3,30600,20000,270
3,32000,20000,270
3,33400,20000,270
3,34800,20000,270
6,37600,19000,270
6,38550,19000,270
6,39500,16000,0
6,42500,19000,270
6,43450,19000,270
3,44400,20000,270
3,45800,20000,270
6,47200,16000,0
6,51150,19000,270
6,52100,19000,270
6,54000,19000,270
