Id,X,Y,Rotation
13,-8000,6400,0
5,-3700,6400,270
3,10400,6200,0
11,4000,20000,270
11,5000,3900,270
3,8000,17500,180
3,8000,20000,180
11,8600,10700,180
15,6500,10700,90
5,2000,1300,0
15,4000,-3700,270
15,5500,-3700,90
3,12500,5400,270
3,16200,5400,0
3,5300,10700,180
15,5500,600,270
1,4000,0,90
9,400,5400,0
1,0,1300,0
15,16200,7900,180
1,-1900,7900,180
15,6500,15700,90
15,4000,8200,0
5,-8000,6400,270
5,-6200,6400,270
3,9400,6200,270
7,20000,4100,90
5,-3700,4100,90
11,7500,600,90
15,11900,5400,0
3,8100,5200,0
7,17500,6400,270
7,7600,3900,270
3,11100,7900,90
3,6700,15000,0
3,10600,10700,90
13,4300,3800,180
7,10400,7700,180
15,8000,-3700,90
3,15000,5400,270
3,17500,7900,180
1,600,4100,90
15,6500,-3700,270
15,4000,15000,270
9,3800,11700,180
3,6700,17500,0
3,8100,12000,270
5,-1900,5400,0
1,2500,0,90
1,600,5400,270
7,8000,0,0
1,0,1300,270
15,6500,-8000,90
5,400,7900,180
1,3100,4100,90
3,8600,9200,270
7,20000,8000,180
11,10300,1500,90
15,10300,4800,270
3,15000,4100,90
1,2500,9200,270
3,4000,16700,270
9,3700,7900,180
3,11900,4900,90
5,2500,7900,90
3,8100,10700,90
3,11900,11700,180
11,8600,9200,0
1,-1900,5400,270
3,8000,15000,180
3,17500,4100,90
5,0,10200,270
1,2500,9200,0
3,8000,12000,90
