Id,X,Y,Rotation
13,-8000,4000,0
11,8000,16300,90
9,-3700,5500,0
3,8700,12000,180
15,4000,-300,270
9,2500,8600,90
1,2500,8600,0
15,20000,8000,180
15,6500,-400,90
5,0,12000,270
15,12300,6500,180
15,4000,20000,270
11,12000,4000,180
11,8700,1500,0
5,0,9700,270
15,7400,9500,0
13,0,7400,270
9,0,8000,180
11,11700,9500,180
13,2500,4300,90
11,8000,600,90
11,4000,15700,270
15,8000,-8000,90
11,20000,6500,180
1,-3700,5500,270
13,1500,4300,270
11,4000,-4600,270
11,6500,-3700,90
15,8000,12000,90
13,-8000,6500,0
15,6500,600,270
15,15600,4000,0
15,8000,4000,0
13,4000,0,90
11,4100,10500,0
11,12300,4000,0
15,4000,8000,0
15,5500,-3700,270
13,2500,8600,270
15,4000,4000,270
15,12300,5500,0
11,6500,16300,90
13,-3700,6500,180
11,15700,8000,180
1,1500,3100,180
15,8000,6500,0
11,12000,1500,180
15,5500,16300,270
1,1500,0,90
11,7400,10500,180
11,12000,12000,180
1,-2200,5500,270
3,4100,10500,90
