Id,X,Y,Rotation
15,4000,-3700,270
15,5500,-3700,270
15,4000,600,270
15,5500,600,270
15,4300,600,0
15,8600,4900,270
15,10100,4900,270
13,-8000,4900,0
13,-3700,4900,0
13,600,9200,270
13,2100,9200,270
15,8000,4900,0
15,12300,4900,0
11,16600,4900,0
13,0,9200,0
15,4300,9200,0
11,8600,9200,0
1,0,12000,270
1,1500,12000,270
1,3000,12000,270
15,4500,15000,270
15,6000,15000,270
3,7500,12000,270
3,9000,12000,270
3,10500,12000,270
15,4000,19300,270
15,5500,19300,270
15,16600,7400,180
15,8600,3100,180
15,8000,-8000,90
15,12300,7400,180
15,8000,15000,90
15,8000,-3700,90
13,4300,3100,180
13,600,7400,180
11,8000,7400,0
13,-3700,7400,180
11,19900,7400,180
9,0,3100,0
13,0,600,0
