Id,X,Y,Rotation
2,20000,23200,180
2,12400,33100,270
1,12000,9400,0
1,0,16500,270
1,40000,23500,90
2,3600,12000,0
2,11000,23500,0
6,14500,16500,0
2,5500,27600,180
6,23500,11000,0
1,12000,36400,0
6,20000,16000,180
6,11000,23500,270
6,29000,25800,180
1,28000,39500,180
6,25500,16800,0
1,23500,28700,0
6,30000,15750,270
1,9600,16500,270
1,28000,35900,180
2,20000,18400,0
1,36400,16500,270
6,16500,13000,90
6,16500,26900,0
1,31000,28000,270
6,14500,16500,90
6,14000,20000,90
6,13500,16500,270
1,28000,3600,180
6,30000,12250,90
2,25500,22500,180
6,20000,26500,180
6,16500,36400,180
6,27000,14000,180
1,28000,7200,180
6,31000,23500,90
2,11000,27600,180
6,11000,20000,270
1,16500,40000,180
1,34600,23500,90
2,0,23500,0
1,28000,10800,180
6,14500,19500,0
2,25500,26600,180
2,16500,27600,90
6,20000,14000,180
6,25500,22800,0
6,18000,20500,270
1,16500,9400,180
6,16500,23500,0
6,33000,15750,270
1,16500,13000,180
6,29000,19800,180
1,3600,12000,90
1,28000,32300,180
2,12400,5500,270
2,9100,16100,180
6,16500,11000,0
6,29000,22800,180
2,16500,0,90
1,23500,3600,0
6,13000,13000,90
6,34600,28000,270
2,16500,27600,180
2,5500,23500,0
6,18000,19500,180
2,20000,22500,0
6,25500,19800,0
1,23500,0,0
1,23500,32300,0
6,12500,6000,0
6,37600,24500,90
2,20000,14300,0
1,40000,12000,90
6,27000,15750,270
6,23500,14000,180
6,13000,33400,0
1,23500,7200,0
6,20000,11000,0
2,25500,18400,180
6,33000,12250,90
6,23500,29000,180
1,36400,12000,90
1,23500,35900,0
6,28000,28700,180
