Id,X,Y,Rotation
1,36000,27000,180
1,0,21000,270
1,22000,7000,270
1,27000,18000,90
1,13000,21000,0
1,7000,11000,0
1,25000,7000,270
1,5000,24500,270
1,20000,24000,0
1,25500,3500,180
1,0,17500,270
1,3000,7000,270
1,0,0,0
1,10000,3500,270
1,27000,7000,270
1,25000,29500,270
1,16000,0,90
1,11000,10500,270
1,13500,11000,0
1,3000,21000,270
1,3500,3000,180
1,13000,3500,270
1,6000,14000,90
1,2000,24500,270
1,32500,30000,0
1,25000,3500,90
1,0,14000,270
1,7000,21000,270
1,18000,14000,90
1,30000,7000,90
1,10500,14000,270
1,3500,11000,0
1,8000,24500,270
1,33500,21000,90
1,32500,33000,0
1,0,10500,270
1,3000,14000,90
1,17000,7000,90
1,13000,21500,90
1,6000,3500,90
1,27000,7000,90
1,30500,24500,270
1,3000,17500,90
1,3000,10500,270
1,18000,21000,270
1,11500,14000,0
1,0,7000,270
1,30500,24500,180
1,13500,10500,90
1,30000,17500,90
1,15000,21000,270
1,14000,7000,90
1,14000,7000,270
1,6000,17500,270
1,11500,17000,180
1,26000,14500,0
1,32500,27000,0
1,14000,10500,270
1,16000,3500,270
1,15000,17000,180
1,24000,17500,90
1,32500,32500,180
1,27000,21000,270
1,3000,17500,270
1,14000,3500,90
1,36000,30000,180
1,19000,0,90
1,30500,27500,180
1,27000,24500,0
1,29000,29500,0
1,3500,0,0
1,5000,21000,90
1,27000,21500,0
1,19000,7000,270
1,19000,3500,270
1,28000,10500,90
1,17500,12000,0
1,16500,21000,0
1,19000,3500,90
1,16500,26000,180
1,36000,29000,0
1,27000,3500,270
1,22000,0,90
1,16500,24000,180
1,3000,3500,90
1,20000,26000,180
1,22000,10500,270
1,6500,17500,90
1,8000,21000,90
1,10000,0,90
1,36000,31000,0
1,13000,0,90
1,22000,3500,90
1,28000,14000,270
1,11000,21000,90
1,15000,17500,270
1,30500,29500,180
1,30000,3500,90
1,16000,7000,270
1,2000,21000,90
1,20500,21000,0
1,3000,7000,90
1,24000,25000,270
1,23000,17500,270
1,21000,21000,270
1,36000,36000,180
1,23000,14000,90
1,25000,10500,90
1,18000,17500,270
1,26000,14000,90
1,8000,14000,0
1,6000,7000,90
1,30000,0,90
1,30500,29000,270
1,30000,17500,180
1,24000,10500,270
1,23500,24000,180
1,20000,17500,270
1,20000,24000,180
1,36000,33000,180
1,17000,14000,180
1,7000,3500,270
1,7000,3000,180
1,22000,500,0
1,22000,14000,270
1,3000,10500,90
1,27000,10500,270
1,27000,21500,90
1,25000,14000,270
1,24000,21500,270
1,10500,14000,180
1,11000,7000,270
1,21000,17500,90
1,18000,17500,90
1,7000,14000,180
2,6000,3500,0
