Id,X,Y,Rotation
1,6000,32000,270
1,3000,21500,90
1,20000,4000,90
1,6000,18000,270
1,28000,21500,270
1,23000,32000,270
1,4000,21500,270
2,23000,32000,180
1,18000,28500,90
1,2000,25000,0
1,14000,4000,90
1,2000,25000,90
1,22000,18000,90
1,26000,32000,90
1,21500,21500,90
1,2000,4000,90
1,25500,15000,0
1,6000,28500,180
1,8000,21500,0
1,12000,32000,90
1,0,18500,0
1,17000,4000,90
1,26000,12000,0
1,17000,7500,0
1,23000,32000,90
1,11000,4000,90
1,3500,21500,180
1,12000,18000,90
1,26000,11000,90
1,24500,21500,90
1,29500,18000,180
1,26000,4000,90
1,25000,21500,270
1,3500,10500,180
1,2000,7500,270
1,22000,21500,270
1,24000,11000,270
1,6000,21500,90
1,21000,18000,180
1,27500,25000,270
1,11000,11000,270
1,3000,14500,270
1,6000,11000,90
1,25500,14500,90
1,20500,7500,0
1,15000,32000,90
1,3000,14500,90
1,17500,15000,0
1,14000,14500,270
1,2000,32000,90
1,24000,10500,180
1,25000,18000,90
1,18000,25000,90
1,23000,14500,270
1,14000,15000,0
1,11000,14000,90
1,3000,11000,90
1,12000,28500,90
1,20000,7500,270
1,29500,25000,270
1,34500,19500,0
1,31000,18000,90
1,9000,28500,90
1,17000,7500,270
1,26000,28500,90
1,11000,14500,270
1,8000,4000,90
1,9000,21000,270
1,27500,21500,90
1,23000,4000,90
1,19000,21500,270
1,29500,15000,0
1,9000,32000,270
1,14000,11000,270
1,8000,7500,270
1,26000,25000,90
1,14000,7500,90
1,18000,32000,90
1,11000,18000,270
1,26000,25000,0
1,8000,17500,270
1,17000,7500,90
1,3500,11000,270
1,4000,32000,90
1,34500,21500,180
1,0,32000,270
1,14000,14500,90
1,0,14500,270
1,8000,21500,90
1,15000,32000,270
1,32500,21500,90
1,12000,32000,270
1,31000,18500,0
1,38000,22500,180
1,6500,7500,90
1,15000,28500,90
1,5000,7500,270
1,22500,18000,270
1,15000,28500,270
1,23000,7500,270
1,6500,28500,270
1,15000,35500,270
1,6000,35500,270
1,33000,18000,180
1,20000,35500,270
1,3000,32000,270
1,21500,25000,270
1,0,7500,0
1,17500,18000,180
1,17000,11000,90
1,9000,35500,270
1,11000,7500,270
1,6000,32000,90
1,20000,32000,90
1,6000,28500,90
1,28000,18000,90
1,0,25000,270
1,9000,18000,90
1,14000,11000,90
1,11500,22000,0
1,18000,21500,90
1,15500,21000,180
1,18500,25000,270
1,12000,35500,270
1,3000,25000,270
1,19000,21500,180
1,15500,18500,0
1,0,18000,270
1,3000,28500,90
1,7000,18000,90
1,14000,7500,270
1,23000,35500,270
1,5000,4000,90
1,29500,15000,180
1,3000,18000,270
1,15000,25000,270
1,23000,28500,270
1,12000,18000,0
1,6000,14500,90
1,24500,25000,270
1,20500,10500,180
1,9000,32000,90
