Id,X,Y,Rotation
3,7000,2600,0
3,14000,0,0
1,29000,21000,180
3,22000,24400,180
3,22000,14000,270
2,10200,10200,270
1,25500,18000,0
2,7300,12500,180
3,26000,7000,90
3,7300,24300,180
1,38500,27000,90
3,15000,14000,0
3,15000,23000,180
3,14000,5200,90
1,11400,12200,0
1,14000,19000,270
1,35500,33500,180
1,29000,30500,270
3,7300,16500,180
1,22500,21500,0
1,11400,12200,180
1,5300,6600,90
1,29000,21000,90
1,35500,30500,270
3,14000,2600,180
3,26000,0,90
1,2300,10100,90
3,8000,19000,0
1,14000,4000,0
1,17500,4000,0
1,7300,16500,90
3,22000,14000,180
1,22000,7000,90
3,21000,4000,180
1,32000,30500,0
1,300,10100,270
3,0,0,0
2,5300,20300,180
2,2300,12700,0
2,22000,17800,180
1,17000,16600,90
2,17000,17800,0
3,7000,4000,180
1,26000,24500,270
1,32000,21000,90
1,11400,15200,180
2,0,4000,0
2,26000,24500,0
3,22000,7000,270
2,300,16700,0
1,3300,6600,90
1,29000,24500,270
1,26000,24500,180
1,25500,21000,180
1,22000,14000,0
1,22000,18000,0
1,25500,18000,180
3,15000,20400,0
3,300,20300,0
1,7900,12200,0
1,14900,15200,180
1,31000,24500,0
1,34500,27500,180
1,35500,30500,180
1,31000,27500,0
