Id,X,Y,Rotation
3,6500,11600,180
99,22100,19800,270
3,0,0,0
3,13000,4000,180
2,5000,7600,180
2,10000,9000,270
1,35792,30622,225
1,30489,25318,225
3,25900,7800,90
3,6500,0,0
3,6500,19600,180
3,15400,16500,0
3,0,15600,0
2,0,4000,0
3,13000,0,0
3,25900,7800,180
2,0,7800,0
1,14500,9600,0
1,31903,23904,45
2,25900,14300,90
2,22000,12500,180
1,26600,18600,45
3,6500,4000,180
3,19500,0,0
3,6500,15600,180
3,19400,3800,0
3,6500,9000,0
99,26000,3800,180
3,0,11600,0
2,13600,4000,90
1,22100,19800,180
3,13000,13000,180
3,14600,19800,180
1,7100,16700,0
2,17000,11300,90
2,13400,16300,270
