Id,X,Y,Rotation
1,37800,5000,270
1,1800,10000,270
1,12600,20000,270
1,19200,40000,270
1,24400,17500,90
1,2800,12500,90
1,22800,40000,270
1,27700,10000,90
1,7600,25000,270
1,28200,20000,270
1,36400,17500,90
1,31600,0,90
1,2800,5000,90
1,10500,12500,270
1,5300,15300,180
1,10500,7500,270
1,16200,2500,270
1,37200,6000,0
1,22300,25000,90
1,31200,7500,90
1,38500,18500,90
1,27700,30000,270
1,30500,27500,90
1,7200,5000,270
1,12600,12500,90
1,14400,15000,270
1,1800,17500,90
1,21000,35000,270
1,37200,22500,180
1,28000,15000,90
1,39700,8800,180
1,21300,27500,90
1,9800,15000,270
1,10000,15000,90
1,37200,2500,270
1,1800,20000,90
1,24900,12500,270
1,24800,10000,90
1,9000,20000,90
1,28200,20000,90
1,38200,22500,90
3,25600,40000,270
1,12200,25000,270
1,12600,15000,270
1,17900,35000,270
1,25800,7500,90
1,34700,5000,0
1,24400,2500,90
1,23800,32500,90
1,33400,15000,90
1,30600,17500,270
1,31200,7500,0
1,5400,15000,270
1,33600,20000,270
1,27500,17500,90
1,31300,25000,0
1,24100,30000,90
2,8750,11000,90
1,19800,2500,90
1,38500,25000,90
1,6200,22500,270
1,3600,2500,270
1,14100,32500,90
1,14100,35000,270
1,26400,25000,270
1,27600,2500,90
1,23400,7500,270
1,7200,22500,90
1,30500,30000,90
1,19500,30000,90
1,10000,0,90
1,23100,22500,270
1,6400,7500,90
1,27700,27500,90
1,9400,25000,270
1,31000,22500,90
1,22300,27500,270
1,26200,0,90
1,15400,15000,90
1,17200,12500,90
1,5400,2500,270
1,19500,27500,270
1,11600,27900,0
1,12200,20000,90
1,1800,2500,270
1,34300,25300,270
1,1800,20000,0
1,10000,15000,0
1,12200,22500,270
1,4600,12500,270
1,21000,22500,270
1,13100,27500,270
1,12800,0,90
1,26200,15000,270
1,14100,32500,180
1,29400,7500,90
1,1800,7500,90
1,34100,22500,90
1,2800,7500,270
1,12300,7500,270
1,15900,25000,90
1,16700,12500,270
1,26200,12500,90
1,6400,17500,90
1,2800,2500,90
1,40000,0,90
1,18000,2500,270
1,4400,25000,270
1,4600,10000,90
1,21600,20000,270
1,9000,5000,270
1,24400,0,90
1,12800,40000,270
1,0,15000,270
1,19500,12500,270
1,31900,5000,90
1,19800,2500,270
1,24800,5000,270
1,14100,30700,180
1,29000,37500,90
1,19500,10000,90
1,24400,15000,90
1,10000,17500,90
1,23800,35000,90
1,31300,25000,90
1,26600,10000,270
1,4600,17500,90
1,23000,10000,270
1,17400,37500,90
1,22000,37500,90
1,29000,5000,90
1,25900,27500,90
1,24900,27500,270
1,15100,7500,90
1,17900,5000,90
1,11800,2500,90
1,19500,32500,270
1,10000,16800,0
1,35950,5000,270
1,12600,20000,180
1,26200,5000,90
1,10000,2500,270
1,17400,37500,270
1,33800,27800,270
1,31900,7500,270
1,29200,22500,90
1,20200,35000,90
1,35200,2500,90
1,15100,35000,90
1,7000,28250,90
1,21600,16250,90
1,21600,17500,270
1,4000,27500,270
1,27700,25000,90
1,31800,20000,90
1,30600,5000,270
1,6000,30750,0
1,12700,25000,90
1,8200,15000,90
1,24100,27500,90
1,11800,2500,0
1,30500,17500,180
1,31300,25000,270
1,16200,0,90
1,0,12500,270
1,31000,17500,90
1,2800,5000,270
1,4300,22800,180
1,12300,7500,90
1,28700,22500,270
1,2800,12500,0
1,2800,15000,90
1,21000,37500,270
1,26200,7500,270
1,5600,5000,90
1,4200,30750,270
1,6200,20000,90
1,37200,7800,180
1,19500,25000,90
1,24400,17500,270
1,17700,30000,270
1,15000,20000,90
1,36600,25300,90
1,13300,10000,90
1,27600,5000,270
1,35200,0,90
1,6800,25000,90
1,30600,2500,90
1,31500,11000,0
1,34700,5000,90
1,21000,25000,270
1,15900,27500,270
1,34000,13800,180
1,17200,15000,270
1,0,17500,270
1,38500,16000,90
1,12300,10000,270
1,15100,8750,270
1,32400,2500,270
1,20700,32500,90
1,11250,33300,180
1,22600,0,90
1,28800,0,90
1,16700,12500,180
1,19200,37500,90
1,14400,2500,0
1,15400,15000,0
1,0,7500,270
1,15100,37500,270
1,23800,22500,90
1,21600,2500,90
1,33400,2500,90
1,15900,27500,90
1,16700,32500,270
1,17900,17800,180
1,1800,20000,270
1,24700,20000,270
1,35200,2500,270
1,15000,22500,90
1,12600,17500,270
1,17900,17800,270
1,22300,30000,90
1,13050,2500,270
1,33600,20000,180
1,0,5000,270
1,33800,27800,180
1,31000,37500,180
1,21300,30000,270
1,25900,20000,90
1,9400,22500,270
1,14100,30000,0
1,28800,2500,270
1,29100,7500,270
1,2800,10000,90
1,31000,37500,90
1,3600,10000,270
1,8750,30500,0
1,7200,20000,270
1,25600,37500,90
1,17900,7500,90
1,4000,33500,270
1,31800,22500,270
1,12200,22500,90
1,5400,17500,180
1,23800,22500,0
1,33700,10300,180
1,15100,5000,90
1,1800,0,90
1,22600,12500,90
1,17700,27500,90
1,12300,37500,270
1,7200,2500,270
1,17000,5000,270
1,5400,17500,270
1,22600,15000,270
1,27700,27500,270
1,21600,5000,270
1,28500,34700,0
1,5600,2500,90
1,34600,20000,90
1,19800,15000,270
1,15600,37500,90
1,23000,10000,90
1,17900,32500,90
