Id,X,Y,Rotation
1,0,2200,270
1,1600,2200,270
1,3200,2200,270
1,4800,2200,270
1,23100,2200,270
1,24700,2200,270
1,0,4400,270
1,1600,4400,270
1,5900,2200,0
1,14700,4400,270
1,23100,4400,270
1,31500,4400,270
1,34700,4400,270
1,36300,4400,270
1,6500,6000,270
1,13100,6600,270
1,22200,6600,270
1,31750,6600,270
1,33350,6600,270
1,500,8800,270
1,21500,8800,270
1,24700,10000,270
1,26300,8800,270
1,37900,8800,270
1,6500,11000,270
1,36300,11000,270
1,0,13200,270
1,6500,13200,270
1,16500,13200,270
1,31500,13200,270
1,38400,13200,270
1,0,15400,270
1,2400,15400,270
1,16500,15400,270
1,36500,15400,270
1,16500,17600,270
1,21500,17600,270
1,1600,19800,270
1,16500,19800,270
1,2400,22000,270
1,8100,22000,270
1,36500,22000,270
1,8100,24200,270
1,29700,24200,270
1,36500,24200,270
1,0,26400,270
1,8100,26400,270
1,38100,26400,270
1,1600,30000,270
1,3200,28600,270
1,8000,30000,270
1,9600,28600,270
1,18100,28600,270
1,26500,28600,270
1,28100,28600,270
1,12400,30800,270
1,16500,30800,270
1,28100,30800,270
1,29700,30800,270
1,12000,33000,270
1,20600,33000,270
1,36500,33000,270
1,0,35200,270
1,1600,35200,270
1,6400,35200,270
1,8000,35200,270
1,9600,34700,270
1,11200,35200,270
1,16500,35200,270
1,36500,35200,270
1,9600,37400,270
1,31300,37400,270
1,34500,37400,270
1,0,39600,270
1,1600,39600,270
1,12800,39600,270
1,15300,39600,270
1,14000,6600,90
1,18100,30800,90
1,9000,3100,90
1,9000,8800,90
1,39000,22000,90
1,34400,6600,90
1,34000,26400,90
1,35400,37400,90
1,24000,13200,90
1,34000,15400,90
1,9000,11000,90
1,18800,4400,90
1,24000,17600,90
1,18500,35200,90
1,19000,11000,90
1,27200,0,90
1,40000,26400,90
1,19000,17800,90
1,9000,16000,90
1,30600,30800,90
1,29000,15400,90
1,24700,4400,90
1,28800,4400,90
1,18100,33000,270
1,29000,11000,90
1,21700,37400,90
1,14000,15400,90
1,33800,22000,90
1,31300,26400,270
1,14000,17600,90
1,3200,36900,270
1,15600,0,90
1,13700,33000,90
1,1600,35200,90
1,14000,26400,90
1,20600,26400,90
1,3650,34700,270
1,24000,11000,90
1,33800,28600,90
1,11200,28600,270
1,21700,35200,90
1,23800,30800,90
1,14000,13200,90
1,29000,17600,90
1,24700,6900,270
1,34000,8800,90
1,1600,24200,0
1,28100,40000,270
1,37400,28600,0
4,35800,37400,0
1,29000,35200,90
1,11500,2200,270
1,15600,2200,270
1,28100,33000,90
1,10600,24200,270
1,0,11000,270
1,26500,13200,270
1,24000,6600,90
1,26500,17600,270
1,31500,17600,270
1,39000,17600,90
1,21500,11000,270
1,32200,37800,90
1,26500,15400,270
1,26500,37400,270
1,6400,28600,270
1,34000,19800,90
1,10600,19800,180
3,18300,23400,270
1,36500,17600,270
1,26500,11000,270
1,31300,28600,270
1,28100,37400,90
1,11500,4400,270
1,21500,19800,270
1,34000,24200,90
1,2500,22000,90
1,12100,35200,90
1,7300,0,90
1,9600,37800,90
1,27200,2200,270
1,14400,37400,180
1,18300,20000,90
1,36500,19800,270
1,23800,26000,90
1,16500,11000,270
1,38400,22000,270
1,1600,9400,0
1,1600,37400,270
1,36550,6600,270
1,32200,39600,270
1,19700,30800,270
1,13800,22000,90
1,34000,17600,90
1,3200,39100,270
1,3200,2200,0
1,6500,19800,270
1,19700,35200,270
1,24000,19800,90
1,16000,37400,270
1,38800,8800,90
1,11500,13200,270
1,21750,35500,0
1,28800,2200,90
1,1600,19800,90
1,24000,39600,180
1,21500,22000,270
1,6500,15400,270
1,37900,4400,270
1,6150,33000,90
1,18100,30800,270
1,26300,6600,270
1,34000,33000,90
1,6500,17600,270
1,15600,6600,270
1,13800,24200,90
2,3400,6600,90
1,14000,8800,90
1,34000,2200,270
1,28100,35200,270
1,12800,37400,90
1,26300,4400,270
1,12200,22000,270
1,7750,37800,90
1,11500,17600,270
1,29000,13200,90
1,2500,15400,90
1,37400,35200,90
1,1600,27800,90
1,34000,0,90
1,14400,37400,270
1,26500,33000,270
1,29000,8800,90
1,32200,28600,90
1,31900,8800,270
1,7300,2200,270
1,19000,13200,90
1,21300,28200,270
1,11500,19800,270
1,0,24200,270
1,31500,19800,270
1,29000,37400,270
1,6150,37400,270
1,6500,22000,270
1,11500,11000,270
1,30900,33000,270
1,26500,30800,270
1,16750,6600,0
1,24000,38000,180
2,39600,30200,90
1,10600,22000,90
1,29000,24200,90
1,30600,26400,90
1,31500,22000,270
1,9700,26400,270
1,31500,35200,270
1,34000,13200,90
1,34000,11000,90
1,11500,15400,270
1,26500,26400,270
1,33800,30800,90
1,37450,6600,90
1,11500,6600,270
1,5250,39600,270
1,34950,8800,270
1,31300,26400,180
1,9700,22000,270
1,16500,28600,270
1,0,6600,270
1,29000,6600,90
1,30600,37800,90
1,21500,15400,270
1,38100,26400,90
1,9600,39600,270
1,17400,2200,270
1,36750,2200,270
2,31500,22000,180
1,13100,2200,270
1,31300,24200,270
1,29700,35200,270
1,24700,4400,270
