Id,X,Y,Rotation
1,15000,14100,270
1,21800,1600,180
2,2900,11100,90
1,24000,18850,0
3,13000,8500,180
1,24800,15500,0
1,21800,7900,0
1,23700,14500,180
1,19600,1600,180
1,22400,4100,180
1,36000,29000,0
1,35200,26500,0
1,11100,3200,90
1,26200,18000,0
1,21500,9800,90
1,0,11200,270
1,24600,16650,90
1,20200,4400,180
1,32200,23000,0
1,2300,3200,0
1,7700,16000,0
1,9900,19500,270
1,2500,8900,90
1,28400,20900,270
2,9900,50,0
3,34400,26500,270
2,17400,1600,0
2,23700,7900,180
1,5500,0,0
1,21800,12000,0
1,15000,11200,180
1,10500,12500,180
1,16900,16150,0
1,38200,31200,270
1,2200,5700,180
2,3200,13900,270
1,0,0,0
1,11400,5400,270
1,19100,19500,180
1,39600,29000,180
2,27000,23700,270
1,16900,17000,180
2,14600,600,0
3,1100,5700,0
1,28400,20900,180
1,14700,14100,0
1,37400,29000,180
2,19200,19450,270
2,0,14300,270
1,12800,8500,0
1,6100,8900,0
2,14400,16600,90
1,24000,12000,180
3,18100,8500,90
1,2200,1600,0
2,15000,11300,270
1,4300,14000,0
1,6800,17600,0
2,17100,3500,180
1,26200,21350,180
1,14700,16600,180
1,22400,5000,270
5,0,19500,270
1,10500,12500,270
1,2200,2500,180
2,11500,19400,270
1,20200,1600,0
2,20900,5000,0
1,6500,16500,180
2,22100,16650,90
2,18000,4400,0
1,7700,0,0
1,4500,5700,180
1,19000,12000,270
1,4300,19300,270
1,12800,10100,180
1,24000,10400,180
1,12500,14100,0
1,2300,4100,180
1,14700,17000,0
2,12700,2950,180
1,22100,18850,270
5,3800,14300,90
2,9600,5400,0
1,37400,26500,0
1,32500,20500,90
3,4500,8900,180
1,27000,18000,180
2,6100,11100,90
1,4500,4000,270
1,30000,22800,0
1,10600,10100,180
2,18100,6600,0
1,7000,1800,90
1,12700,2450,270
1,38200,31500,180
1,33000,26500,0
1,30000,22700,270
1,6800,17100,90
1,16900,19500,180
1,15000,11300,90
1,32200,24600,0
1,8300,11400,180
1,32200,25300,180
2,29900,20900,90
1,35200,29000,180
1,21500,14500,0
2,20900,9500,180
1,12500,13500,270
1,7000,4000,270
3,6100,11100,180
1,4400,1600,180
1,22400,2500,270
1,9500,1800,90
