Id,X,Y,Rotation
1,16400,3000,270
1,19800,3000,270
1,27000,3000,270
1,28800,3000,270
1,34000,12000,270
1,0,18000,270
1,27700,18000,270
1,12600,21000,270
1,30300,21000,270
1,38200,21000,270
1,800,24000,270
1,25200,25500,270
1,32400,24000,270
1,37400,24000,270
1,34600,27000,270
1,17600,30000,270
1,27000,33000,270
1,30600,33000,270
1,34200,36000,270
1,26200,40000,270
1,36000,40000,270
1,40000,24000,90
2,36000,36000,90
1,36800,12000,270
1,27700,15000,90
1,18000,33000,270
1,3600,9000,90
1,23100,18000,270
1,16400,0,90
1,17200,13000,90
1,15400,21000,90
1,16600,27000,270
1,25200,15000,270
1,39200,27000,90
1,17200,16000,270
1,14800,12000,270
1,28800,24000,270
1,16200,24000,270
2,2000,40000,270
1,16200,33000,270
1,33400,18000,270
1,10800,18000,90
1,13600,0,90
1,1800,33000,90
1,19400,27000,270
1,0,3000,270
1,36700,15000,90
1,8200,18000,90
1,800,9000,270
1,29800,30200,90
1,10800,4000,270
1,6400,33000,90
2,6400,36000,270
1,2800,0,90
1,12600,37000,90
1,31600,21000,90
1,35200,12000,90
2,18000,40000,270
1,30600,3500,90
1,35200,33000,270
1,24400,6000,270
1,13400,33000,270
1,27000,0,90
1,3600,15000,270
1,5900,18000,270
1,1800,18000,90
2,10800,3000,90
1,12600,24000,270
2,25400,37000,270
1,35200,30000,90
2,25200,21000,90
1,36800,9000,90
1,15800,24000,90
1,13600,3000,270
1,2800,3000,270
1,17600,27000,90
1,10800,0,90
1,10800,24000,270
1,5400,40000,270
1,33800,24000,90
1,37000,33000,270
1,7600,6000,270
1,1800,6000,270
1,1800,27000,90
1,19500,21000,270
1,34000,9000,270
1,23600,3000,90
1,22000,27000,90
1,3600,12000,270
1,8200,39000,270
1,19400,24000,90
1,19000,21000,90
1,28900,9000,90
1,5400,25000,270
1,27100,6000,90
1,6400,30000,90
1,31600,15000,90
1,20800,30000,90
1,5900,15000,90
1,12600,6000,270
1,32400,15000,270
1,30600,6500,270
1,10800,12000,90
1,22600,36000,270
1,26200,37000,90
1,4100,30000,270
1,33400,15000,90
1,8200,12000,90
1,22600,33000,90
1,21800,12000,90
1,36800,6000,90
1,14400,36000,270
1,37000,0,90
1,1800,3000,90
1,25200,30000,90
1,40000,15000,90
1,18000,10000,90
1,28400,33200,0
1,20800,6000,270
1,36300,6000,270
1,34900,18000,0
1,11700,34000,90
1,34900,18000,90
1,25200,12000,90
1,9000,18000,270
1,2800,15000,90
1,16200,36000,270
1,31000,27000,270
1,32400,11500,90
1,14800,9000,270
1,3600,33000,270
1,28500,18000,90
1,6400,32000,270
1,35200,21000,90
1,32100,21000,270
1,36000,37000,270
1,11800,18000,270
1,3600,21000,270
1,0,39000,270
1,25300,9000,90
2,7200,25000,270
1,0,33000,270
1,0,12000,270
1,6400,19000,90
1,24200,3000,270
1,37400,27000,90
1,14400,6000,270
2,28500,21000,90
1,1800,27000,270
1,24900,18000,270
1,21600,40000,270
1,13000,27000,270
1,12600,40000,270
1,21300,18000,270
2,10800,28500,90
1,10800,21000,270
1,11800,15000,90
1,4600,6000,270
1,21300,15000,90
1,24300,9000,270
1,27200,3000,90
1,12600,15000,270
2,18000,36000,90
1,40000,0,90
1,31600,3000,270
1,0,27000,270
1,23900,18000,90
1,34200,3000,270
1,20800,33000,270
1,1800,30000,270
1,27100,9000,270
1,34200,33000,90
1,30600,36000,180
1,23900,21000,270
1,15400,12000,90
1,36700,18000,270
1,4600,33000,90
1,6200,6000,90
2,30400,40000,270
1,36200,3000,90
1,20800,3000,90
1,22100,3000,270
1,12600,36000,270
1,24400,37000,90
1,37200,9000,270
1,3600,21000,90
1,14800,9000,90
2,10800,32500,270
1,30300,18000,90
1,9000,15000,90
1,16200,30000,90
1,5600,3000,270
1,22500,9000,270
1,13000,30000,270
2,5400,36000,90
1,6700,9000,90
1,2600,9000,270
1,28000,12000,90
1,39100,3000,90
2,21800,25000,270
1,10800,15000,270
1,3600,27000,270
1,3600,12000,90
1,39800,30000,90
1,35600,24000,270
1,6200,9000,270
1,19200,0,90
1,35600,27000,90
1,25400,33000,90
1,40000,9000,90
1,38800,34000,90
1,8200,37000,90
1,14600,15000,90
1,37200,3000,270
1,14800,30000,270
1,3100,18000,270
1,10800,7000,270
1,40000,6000,90
1,36400,27000,270
1,13000,9000,270
1,19000,15000,270
2,10600,21000,90
1,21800,15000,270
1,19000,24000,270
1,29000,37000,90
1,33400,3000,90
2,18000,6000,90
1,5600,0,90
1,19000,33000,90
1,6400,12000,90
1,17200,3000,90
1,19800,36000,270
1,25700,12000,270
1,31600,0,90
1,25200,33000,270
1,32800,27000,90
2,33800,36000,90
1,21800,21000,90
1,3600,30000,90
1,18000,6000,270
1,8400,0,90
1,1800,36000,270
1,3600,24000,270
1,500,15000,270
2,15800,36000,90
1,9600,33000,90
1,29500,15000,270
1,27600,6000,270
1,7400,3000,90
1,3600,18000,90
1,32800,30000,270
1,4600,3000,90
2,21400,36000,90
1,37800,40000,270
1,33400,6000,270
1,25700,21000,270
1,37900,20800,180
1,33400,30000,90
1,31400,36000,270
1,35700,15000,270
1,22500,12000,270
1,38500,12000,90
