Id,X,Y,Rotation
2,8000,16800,270
3,28300,16850,0
1,27500,30000,270
3,18100,16800,0
2,2900,16200,90
2,8000,8400,270
2,29900,21850,180
2,8100,11200,270
1,30000,27000,180
1,24000,32600,90
2,23800,37700,180
1,4300,29300,270
2,28000,2800,270
1,6800,27100,90
2,6800,27000,0
2,18000,16000,90
2,32100,29800,270
2,35000,27000,90
2,12000,23000,0
2,14800,25900,180
2,15100,19000,270
2,24600,30000,270
2,29900,14000,90
1,31700,16000,0
2,15000,19000,180
1,11200,40000,180
1,9000,37500,0
2,24400,16000,90
1,15000,27800,90
1,21000,39900,270
2,8000,2800,270
2,11800,33100,180
2,12000,30000,180
2,27500,27000,90
2,21500,18800,270
1,30000,27800,90
1,6900,18500,180
2,9900,2800,90
2,20000,11200,90
1,4700,16000,0
1,29900,21850,90
2,12000,35000,180
2,29900,8400,90
2,12200,16100,0
1,4500,16450,90
2,12000,25900,0
2,27100,18950,0
1,14550,20800,180
1,24000,37800,90
2,19900,14000,90
1,12000,35300,90
1,27400,24050,270
1,33900,18500,180
1,20000,5600,90
1,21000,34800,270
2,40000,30000,180
2,34200,18800,270
1,9000,29800,180
1,9800,27200,0
1,12500,30000,270
3,12200,19000,180
2,40000,16000,90
2,25100,18800,270
2,37200,27000,0
2,9000,30000,0
2,29900,5600,90
1,27000,24500,0
2,18100,10600,270
2,37100,16000,90
2,37100,18800,270
1,12000,23000,270
2,30000,30000,270
2,21200,29700,0
2,0,30000,270
2,2900,27200,90
2,29900,11200,90
1,10000,16000,0
1,18400,5600,270
2,28000,5600,270
1,14500,20800,90
2,21000,34800,0
2,28000,16000,90
1,37200,29500,180
1,21200,29700,270
2,24000,32600,180
2,18300,29800,270
2,18300,27000,90
1,23700,27500,90
2,15400,29800,270
2,0,19000,270
2,21200,27000,90
1,9500,37500,270
2,10000,11200,90
2,20000,0,90
1,35000,27000,0
1,8500,16800,90
