Id,X,Y,Rotation
1,4800,2200,270
1,27200,2200,270
1,30400,2200,270
1,33600,2200,270
1,35200,2200,270
1,6400,4400,270
1,22400,4400,270
1,27200,4400,270
1,29700,4400,270
1,32000,4400,270
1,34500,4400,270
1,38400,4400,270
1,1600,6600,270
1,29600,6600,270
1,0,8800,270
1,6400,8800,270
1,8000,8800,270
1,13400,8800,270
1,31200,8800,270
1,32800,8800,270
1,34400,9000,270
1,37600,8800,270
1,21600,11000,270
1,26400,11000,270
1,9000,13200,270
1,10600,13200,270
1,21800,13200,270
1,24300,13200,270
1,9000,15400,270
1,12200,15400,270
1,19300,15400,270
1,5200,16700,270
1,8400,17600,270
1,11600,17600,270
1,18000,17600,270
1,26600,17600,270
1,28200,17600,270
1,31400,17600,270
1,34600,17600,270
1,36200,17600,270
1,14800,19800,270
1,16400,19800,270
1,29800,19800,270
1,2000,22000,270
1,3600,22000,270
1,16400,22000,270
1,18000,22000,270
1,34600,22000,270
1,36200,22000,270
1,18000,24200,270
1,26000,24200,270
1,29200,24200,270
1,30800,24200,270
1,2000,24200,0
1,8600,24200,0
1,26800,26400,270
1,28400,26400,270
1,30000,24400,0
1,9000,28600,270
1,10600,28600,270
1,17700,28600,270
1,20200,28600,270
1,28200,28600,270
1,12400,30800,270
1,19000,30800,270
1,22200,30800,270
1,24400,30800,270
1,11500,33000,270
1,19000,33000,270
1,22200,33000,270
1,0,35200,270
1,8000,35200,270
1,22900,35200,270
1,35900,35200,270
1,3200,37400,270
1,11200,37400,270
1,24000,37400,270
1,30400,37400,270
1,1600,40000,270
1,3200,39600,270
1,6400,39600,270
1,12800,39600,270
1,17600,39600,270
1,19200,39600,270
1,22400,39600,270
1,33600,40000,270
1,35200,39600,270
1,31000,26000,90
1,18500,35200,180
1,17700,26400,90
1,10900,17600,90
1,3200,6600,90
1,20000,6600,270
1,4800,8800,270
1,23400,15400,270
1,32000,33000,90
1,21100,33000,90
1,24300,26400,90
1,9600,8800,270
1,17200,26400,270
1,30500,8800,90
1,33300,22000,90
1,34400,24200,0
1,20200,26400,90
1,21600,8800,270
1,13700,0,90
1,32800,6600,270
1,16900,37400,90
1,15000,11000,90
1,5200,19800,270
1,23200,8800,270
1,28200,13200,90
1,32100,19800,270
1,35500,24200,270
1,6800,17600,270
1,9300,17600,90
1,1600,2200,270
1,20800,37400,180
1,35200,35200,90
1,18500,0,90
1,4800,2200,90
1,38400,2200,90
1,10600,11000,270
1,22000,24200,90
1,12500,17600,90
1,33900,15400,90
1,16300,15400,90
1,35900,33000,90
2,15600,2200,90
1,13200,22000,90
1,6100,22000,90
1,37700,0,90
1,36000,6600,270
1,25600,37400,90
1,28100,37400,90
1,16300,13200,90
1,33700,19800,270
1,8000,2200,270
1,32000,39600,270
1,10000,17600,270
1,22400,2200,270
1,32100,4400,90
1,18600,35800,270
1,34500,2200,90
1,28800,2200,270
1,20600,30800,270
1,40000,33000,90
1,14700,26400,90
1,15400,13200,270
1,13700,2200,270
1,37700,37400,90
1,25900,26400,90
1,9000,11000,270
1,36900,6600,90
1,11200,2200,90
1,11400,4400,90
1,16000,35200,180
1,2000,24200,270
1,4500,17600,90
1,26400,8800,270
1,0,2200,270
1,29800,22000,270
1,6800,24200,270
1,14000,26400,270
1,28000,8800,270
1,15000,8800,90
1,20900,15400,270
1,18000,15400,90
1,11200,39600,270
1,21300,35200,270
1,18600,15400,180
1,18000,19800,270
1,9600,2200,90
1,29800,17600,270
1,24500,24200,90
1,1600,2200,90
2,2000,32300,0
1,12200,13200,270
1,28100,34000,90
1,26000,30800,90
1,4200,24400,0
1,28000,6600,270
1,38000,22000,90
1,28200,37400,0
1,19300,26400,270
1,30300,40000,180
1,36200,19800,270
1,6100,19800,90
1,32200,24200,0
1,38500,4400,90
1,29500,35200,270
1,26600,15400,90
1,17600,4400,270
1,3600,15400,90
1,28500,22000,90
2,18600,11000,90
1,8600,25800,180
1,8900,37400,90
1,9600,37400,270
1,11200,4400,270
1,9000,33000,270
1,26500,0,90
1,8900,4400,90
1,16000,4400,270
1,29800,17600,90
1,6800,22000,270
1,28200,22000,270
1,4800,4400,90
1,26600,28600,270
1,35200,37400,270
1,4800,4400,270
1,10800,26400,270
1,34400,6600,270
1,24300,11000,90
1,30700,13200,90
1,22000,26400,270
1,13100,26400,90
1,37800,37400,0
1,13200,19800,270
1,30700,11000,90
1,2000,19800,270
1,4800,39600,270
1,40000,39900,180
1,14000,30800,90
1,24800,11000,270
1,38400,2200,270
3,22900,23900,270
1,20800,2200,270
1,32000,37400,270
1,22700,26400,90
1,15300,37400,90
