Id,X,Y,Rotation
1,4800,2200,270
1,8000,2200,270
1,9600,2200,270
1,17600,2200,270
1,35200,2200,270
1,0,4400,270
1,1600,4400,270
1,6400,4400,270
1,19000,4400,270
1,30000,4400,270
1,31600,4400,270
1,0,6600,270
1,4800,6600,270
1,22200,6600,270
1,34800,8000,270
1,38000,6600,270
1,0,8800,270
1,4100,8800,270
1,0,11000,270
1,1600,11000,270
1,3200,11000,270
1,6800,13200,270
1,7300,15400,270
1,4800,17600,270
1,9600,17600,270
1,14400,17600,270
1,33100,16200,270
1,34700,16200,270
1,36300,17600,270
1,10500,19800,270
1,31500,19800,270
1,3200,22000,270
1,19200,22000,270
1,22400,22000,270
1,25600,21200,270
1,27200,22000,270
1,0,24200,270
1,1600,24200,270
1,7500,24200,270
1,0,26400,270
1,0,28600,270
1,1600,28600,270
1,3200,28600,270
1,0,30800,270
1,3200,30800,270
1,6400,30800,270
1,8000,30800,270
1,10300,30200,270
1,19200,30800,270
1,24000,30800,270
1,28800,30200,270
1,30400,30800,270
1,35200,30800,270
1,0,33000,270
1,2500,33000,270
1,6400,33000,270
1,12800,33000,270
1,14400,33000,270
1,25700,33000,270
1,27300,33000,270
1,28900,33000,270
1,30500,33000,270
1,0,35200,270
1,4100,33000,270
1,24100,35200,270
1,25700,35200,270
1,32100,35200,270
1,36900,35200,270
1,0,37400,270
1,4800,37400,270
1,6400,37400,270
1,11900,37400,270
1,14400,37400,270
1,20800,37400,270
1,23650,37400,270
1,8000,39600,270
1,20100,39600,270
1,25600,40000,270
1,32000,39600,270
1,2500,37400,270
1,39400,30800,90
1,1600,19800,90
1,28800,5500,90
1,13700,5800,90
1,18300,14000,0
1,39400,33000,90
1,17000,30800,90
1,17000,33000,90
1,16000,28600,90
1,5700,26400,90
1,26450,16200,90
1,24700,4400,90
1,15900,8000,180
1,25000,5500,0
1,12100,0,90
1,22200,4400,90
1,20600,5800,90
1,34700,22000,270
1,4100,22000,90
1,32500,0,90
1,3200,15400,270
1,2500,24200,90
2,29250,16500,180
1,24900,2200,90
1,7300,37400,90
1,21700,40000,270
1,8900,4400,90
1,25000,30800,90
1,36900,33000,270
1,32900,0,0
