Id,X,Y,Rotation
1,0,2050,270
1,10850,2050,270
1,12400,2050,270
1,13950,2050,270
1,15500,2050,270
1,20850,2050,270
1,26350,2050,270
1,31000,2050,270
1,35650,2050,270
1,4650,4100,270
1,6200,4100,270
1,7750,4100,270
1,10850,4100,270
1,15500,4100,270
1,20150,4100,270
1,23250,4100,270
1,37200,4100,270
1,0,6150,270
1,1550,6150,270
1,4650,4100,0
1,6700,4100,0
1,13900,4100,0
1,15950,4450,0
1,18000,6150,270
1,21100,4100,0
1,25200,4100,0
1,32900,4450,0
1,38050,6150,270
1,2400,8200,270
1,18050,8200,270
1,19600,8200,270
1,27600,8200,270
1,36500,8200,270
1,0,10250,270
1,1550,10250,270
1,3100,10250,270
1,11600,10250,270
1,18000,10250,270
1,34050,10250,270
1,37150,10250,270
1,0,12300,270
1,4650,12300,270
1,10850,12300,270
1,12400,12300,270
1,18600,12300,270
1,20150,12300,270
1,21700,12300,270
1,27900,12300,270
1,31000,12050,270
1,32550,12300,270
1,34100,12300,270
1,37200,12300,270
1,0,14350,270
1,1550,14350,270
1,4650,14350,270
1,12400,14350,270
1,13950,14350,270
1,17050,14350,270
1,21700,14350,270
1,23250,14350,270
1,26350,14350,270
1,29450,14350,270
1,34100,14350,270
1,2400,16400,270
1,6700,14350,0
1,12350,16400,270
1,19550,16400,270
1,21100,14350,0
1,23150,14450,0
1,25200,14450,0
1,32900,14450,0
1,34950,16400,270
1,3100,18450,270
1,19600,18450,270
1,27600,18450,270
1,35600,18450,270
1,11600,20500,270
1,18050,20500,270
1,27600,20500,270
1,0,22550,270
1,7750,22550,270
1,13950,22550,270
1,19300,22550,270
1,35650,22550,270
1,3100,24600,270
1,7750,24600,270
1,12400,24600,270
1,17050,24600,270
1,37200,24600,270
1,0,26650,270
1,1550,26650,270
1,3100,26650,270
1,10050,26650,270
1,19600,26650,270
1,0,28700,270
1,1550,28700,270
1,3100,28700,270
1,10050,28700,270
1,34050,28700,270
1,35600,28700,270
1,0,30750,270
1,2400,30750,270
1,10050,30750,270
1,11600,30750,270
1,18050,30750,270
1,35600,30750,270
1,3100,32800,270
1,4650,32800,270
1,6200,32800,270
1,7750,32800,270
1,17050,32800,270
1,18600,32800,270
1,20150,32800,270
1,24800,32800,270
1,29450,32800,270
1,31000,32800,270
1,32550,32800,270
1,35650,32800,270
1,37200,32800,270
1,3950,34850,270
1,9300,34850,270
1,12400,34850,270
1,17050,34850,270
1,21700,34850,270
1,24800,34850,270
1,26350,34850,270
1,27900,34850,270
1,29450,34850,270
1,10850,36900,270
1,12400,36900,270
1,20150,36900,270
1,26350,36900,270
1,31000,36900,270
1,1550,38950,270
1,6200,40000,270
1,7750,40000,270
1,13950,38950,270
1,17050,40000,270
1,20150,38950,270
1,23250,38950,270
1,29450,40000,270
1,30300,34850,90
1,22000,6000,90
9,6000,26700,90
1,30000,6150,90
1,2400,14350,90
1,14000,8000,90
1,4650,14450,0
1,35600,10250,270
1,5500,24600,90
1,7750,34850,270
1,40000,0,90
1,2400,10250,90
16,30000,24950,90
1,10850,12300,180
4,7200,22550,90
1,0,34850,270
5,13950,16400,90
1,9300,32800,270
1,24800,38950,270
1,23250,0,90
1,30000,18000,90
1,38200,38950,270
1,34950,22550,90
1,21700,12300,90
9,40000,32800,90
1,31000,38950,270
1,27200,30750,90
