Id,X,Y,Rotation
1,0,3000,270
1,7200,3000,270
1,30600,3000,270
1,16200,6000,270
1,18000,6000,270
1,19000,9000,270
1,24400,15500,270
1,1800,21000,270
1,3600,21000,270
1,19800,21000,270
1,31100,21000,270
1,10800,24000,270
1,18000,24000,270
1,3000,24000,0
1,7800,27000,270
1,28800,27000,270
1,6000,30000,270
1,36600,30000,270
1,17800,33000,270
1,20600,33000,270
1,24000,33000,270
1,31200,36000,270
1,33000,37000,270
1,36600,36000,270
1,40000,30000,90
1,29800,36000,90
1,35800,24000,90
1,0,24200,0
1,28800,6000,90
1,17800,27000,90
1,37000,3000,0
1,22400,27000,90
1,20800,9000,90
1,29800,9000,90
1,35700,12000,90
1,24400,12500,90
1,3600,12000,90
1,6400,9000,90
1,24400,37000,90
1,28800,3000,270
1,34700,18000,90
1,12400,37000,90
1,33400,9000,270
1,35200,0,90
1,10000,33000,90
1,36500,21000,90
1,27000,27000,90
1,21400,33000,90
1,18600,24000,90
1,33400,9000,90
1,19800,3000,270
1,14600,33000,90
1,15800,26500,270
1,34000,30000,90
1,39900,21000,90
1,9600,30000,90
1,9000,12000,270
1,26800,30000,90
1,27000,12000,270
1,11400,27000,90
1,16200,6000,90
1,2800,0,90
1,15000,33000,270
1,39400,27000,90
1,25500,6000,90
1,1800,9000,90
1,25800,33000,90
1,12600,9000,270
1,18600,36000,270
1,11800,9000,90
1,36600,33000,90
1,0,18000,270
1,16200,3000,90
1,5400,9000,270
1,15000,27000,180
1,30600,9000,270
1,12400,39000,270
1,22900,18000,90
1,23000,21000,90
1,40000,24000,90
1,7200,21000,270
1,22600,15000,90
1,11800,12000,90
1,30600,3000,90
1,27000,9000,90
1,26500,18000,270
1,25200,0,90
1,31200,33000,90
1,31100,18000,90
1,12800,24200,0
1,10800,18000,270
1,7400,18000,270
1,16200,9000,270
1,19600,36000,90
1,3400,40000,270
1,38200,21000,270
1,35700,18000,270
1,31600,27000,90
1,24200,12000,270
1,31700,36000,90
1,7800,30000,270
1,28000,3000,90
1,22200,36000,270
1,14400,3000,270
1,32200,30000,270
1,15400,12000,0
1,21600,12000,270
1,11800,36000,270
1,25200,3000,270
1,27000,3000,270
1,19000,6000,90
1,10800,24000,90
1,10800,21000,90
1,34700,21000,270
1,25500,9000,270
1,30600,12000,270
1,21600,40000,270
1,17800,30000,90
1,26500,21000,270
1,19800,18000,90
1,1800,18000,90
1,10000,12000,90
1,10800,6000,270
1,2600,9000,270
1,7200,18000,90
1,25800,27000,270
1,22600,3000,90
1,8200,6000,90
1,2800,18000,270
1,6200,37000,90
1,10000,0,90
1,18600,27000,270
1,25800,36000,270
1,32900,18000,270
1,28800,27000,90
1,37000,24000,270
1,16800,39000,270
1,33400,6000,90
1,35200,37000,90
1,29300,21000,90
1,16200,9000,90
1,35700,15000,90
1,31600,24000,90
1,24200,27000,90
1,4600,18000,270
1,23400,0,90
1,15000,30000,90
1,6000,36000,270
1,27600,12000,90
1,18000,9000,90
1,32200,30000,90
1,6200,39000,270
1,3600,3000,90
1,6200,6000,270
1,24200,30000,270
1,36600,27000,270
1,33400,24000,90
1,14400,9000,90
1,12400,30000,90
1,35000,27000,90
1,35400,3000,270
1,14200,39000,270
1,32400,12000,90
1,36000,9000,90
2,35200,40000,270
1,26800,33000,270
1,7200,15000,270
1,11800,15000,270
1,6400,0,90
1,21600,37000,90
1,19800,18000,270
1,32400,15000,270
1,32900,21000,90
1,10000,36000,270
1,39400,33000,90
1,34000,3000,0
1,0,34000,0
1,2800,15000,90
1,28300,18000,270
1,17200,0,90
1,20800,21000,90
1,3600,3000,270
1,13600,15000,90
1,23400,30000,90
1,5400,6000,90
1,28800,30000,270
1,20600,27000,90
1,25200,6000,270
1,7800,24000,270
1,18000,18000,270
1,10800,21000,270
1,7400,15000,90
1,3000,36800,180
1,0,39800,270
1,9000,36000,90
1,11600,3000,270
1,30600,6000,90
1,7800,30000,90
1,27000,39000,270
1,28300,21000,270
1,18000,12000,270
1,0,24000,270
1,7800,21000,90
1,26300,36000,90
1,26500,24000,270
1,33400,3000,90
1,18600,12000,0
1,30600,12000,90
1,36600,30000,90
1,3000,37000,270
1,4600,21000,90
1,37500,18000,90
1,10200,15000,90
1,24400,3000,90
1,32400,40000,270
1,9600,33000,270
1,20800,3000,90
1,5800,34000,90
1,21800,6000,90
1,1800,24000,270
1,28600,24000,90
1,9000,6000,270
1,31100,15000,90
1,20600,30000,90
1,11400,30000,270
1,30400,30000,90
1,21600,15000,270
1,6000,27000,270
1,29300,24000,270
1,40000,0,90
1,34700,21000,90
1,9000,3000,90
1,17200,3000,270
1,9000,39000,270
1,24000,27000,270
1,15000,30000,270
1,7200,12000,90
1,5000,24000,270
1,21400,24000,90
1,800,15000,270
1,0,6000,270
1,21400,27000,270
1,38200,0,90
1,38500,15000,90
1,14400,3000,90
1,3600,12000,270
1,1800,6000,90
1,32900,15000,90
1,14500,18000,90
1,12700,24200,270
1,17800,30000,270
1,3600,9000,90
1,28400,36000,270
1,32400,3000,270
1,10000,9000,270
1,30600,6000,270
1,10200,18000,90
1,14400,0,90
1,14700,36000,270
1,10000,6000,90
1,14200,27000,90
1,2800,36800,90
1,9000,9000,90
1,22100,9000,270
1,17500,33000,90
1,27800,15000,270
1,21600,14800,180
1,3600,6000,270
1,4400,15000,270
1,36600,33000,270
1,38900,36000,90
