Id,X,Y,Rotation
1,11400,1600,0
1,13200,10550,180
1,2200,9800,180
1,25000,6400,180
1,12200,15300,180
1,8800,20000,180
1,0,1600,0
1,6600,12000,180
1,27500,17200,90
1,18200,12100,180
1,2200,16050,0
1,12200,12750,270
1,0,18100,0
1,6600,20000,180
1,2200,10500,0
1,4400,13100,180
1,7000,7900,270
1,2200,8000,0
1,13200,8000,0
1,20500,2200,270
1,2800,1600,180
1,21200,16500,180
1,21200,11200,0
1,20600,5500,0
1,22700,5500,180
1,11400,0,0
1,35000,27000,180
1,15100,17800,90
1,8800,15500,0
1,6600,18400,180
1,0,15600,0
1,15400,18400,0
1,15700,5700,180
1,9500,4100,180
1,24800,9000,90
1,2200,4800,180
1,23400,15750,270
1,2200,13100,180
1,0,13100,0
1,4400,15600,0
1,22700,3900,0
1,25000,19200,270
1,7000,0,90
1,18300,3000,180
1,10000,11200,0
1,15400,18400,270
1,6600,15600,0
1,17900,16650,0
1,15400,10500,180
1,3000,7300,180
1,32800,24500,0
1,2200,15600,180
1,9500,5750,90
1,8800,18100,0
1,6600,10400,180
1,32000,27000,0
1,17600,18400,0
1,8800,10500,180
1,19000,11200,0
1,16000,5700,90
1,22800,6400,0
1,19000,13700,0
1,25000,11200,90
1,13500,17800,90
1,13600,0,0
1,15400,9600,0
1,25000,15900,90
1,34200,27000,0
1,16000,12100,180
1,36400,29500,180
1,11000,20000,270
1,8800,18100,180
1,25000,1700,180
1,20500,3000,180
1,0,4800,0
1,38000,29800,90
1,0,7300,0
1,13500,7900,270
1,22700,8000,180
1,27000,21700,0
1,2200,17650,0
1,22000,11200,270
1,9200,1600,0
1,11000,10500,180
1,25300,19400,0
1,22000,9600,180
1,27500,21700,270
1,23400,13700,180
1,0,10600,0
1,22500,18100,270
1,5000,2500,180
1,24400,1700,90
1,7000,0,0
1,2200,13100,0
1,23400,15750,180
1,2800,0,0
1,4400,7500,0
1,31700,27000,180
1,38000,27000,90
1,29500,24200,180
1,17900,16200,90
1,32500,22000,90
1,17600,9600,0
1,22300,18100,0
1,22300,20000,180
1,21200,13700,180
1,9200,2500,180
1,13200,17800,180
1,2200,18100,180
1,19800,9600,0
1,26700,21900,180
1,18300,500,0
1,17600,9600,180
1,30000,19500,90
1,11000,8050,0
1,20500,3000,0
1,9200,0,0
1,7300,4100,0
1,6600,8000,0
1,29500,24500,0
1,25000,8900,180
1,4400,10500,180
1,11000,18100,180
1,20100,16500,0
1,35500,32000,270
1,4400,15600,180
1,13800,12750,90
1,30000,24200,270
1,13200,16200,0
1,11000,15300,0
1,13600,1600,0
1,10000,12800,0
1,15800,4100,180
1,34200,29500,180
1,16100,500,0
1,19800,9600,180
1,8800,8000,0
