Id,X,Y,Rotatio
0,10500,7300,90
0,13000,3000,90
7,4300,5500,0
11,0,0,0
12,1500,9000,0
7,4300,4000,0
7,8000,7700,270
11,0,11500,0
7,7600,8000,180
5,8000,10000,270
7,7600,4000,180
12,10500,11600,90
0,13000,7300,90
12,0,9000,0
0,8600,0,0
11,4300,11500,180
11,0,1500,0
12,8000,11600,270
11,4300,6500,180
0,10500,11600,270
0,12900,2500,180
12,10500,12900,270
11,8600,1500,180
11,0,6500,0
11,4300,4000,180
12,8000,4300,270
12,5600,12500,180
5,8000,12900,180
12,1300,9000,180
12,2800,9000,180
12,4300,10000,0
5,5700,10400,0
0,10500,7300,270
0,10500,3000,90
11,0,4000,0
11,4300,1500,0
12,8000,12900,270
12,13000,11600,90
