Id,X,Y,Rotation
12,12900,4000,180
0,9000,7300,270
4,11500,7300,270
12,4700,6500,180
12,13000,11600,90
11,0,4000,0
0,12900,2500,180
12,2600,9000,180
12,0,10500,0
0,13000,7300,90
11,5600,11500,180
11,4300,1500,0
11,0,0,0
4,11500,4000,90
0,9000,11600,270
12,1300,13000,180
12,1300,9000,0
12,0,6500,0
11,8600,1500,180
11,4300,2500,180
12,8900,13000,270
7,5600,10500,0
7,8000,6500,180
11,3600,6500,0
0,8600,0,0
11,8900,13000,180
5,1300,6500,0
12,11500,7300,90
7,1300,11500,0
3,11600,2500,90
12,1300,9000,180
7,3400,6500,180
0,10500,12900,270
7,4300,4000,0
12,1300,10500,180
