area,ratio,efficiency,gap_ratio,angle,x,y,n_bays,used_area_ratio,valid,label
2.88e+06,2,12342.9,0.166667,90,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,750,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,1500,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,1500,1500,0,0,1,1
2.88e+06,2,12342.9,0.166667,270,1500,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,1500,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,1500,4200,0,0,1,1
2.88e+06,2,12342.9,0.166667,90,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,0,10000,0,0,1,1
2.88e+06,2,12342.9,0.166667,180,0,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,10000,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,10000,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,10000,0,0,0,1,1
2.88e+06,2,12342.9,0.166667,180,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,270,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,9500,2500,0,0,1,1
2.88e+06,2,12342.9,0.166667,270,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,0,3000,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,180,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,90,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,0,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,240,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,750,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,750,1500,0,0,1,1
2.88e+06,2,12342.9,0.166667,60,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,1500,750,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,750,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,750,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,750,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,750,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,1500,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,1500,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,1500,1500,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,1500,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,1500,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,1500,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,1500,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,1700,4200,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,240,3000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,0,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,0,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,10000,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,0,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,10000,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,10000,0,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,0,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,240,1500,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,240,8000,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,1700,8800,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,8000,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,9500,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,9500,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,9500,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,9500,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,9500,2500,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,9500,2800,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,60,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,300,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,240,10000,3000,0,0,0,0
2.88e+06,2,12342.9,0.166667,150,3000,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,330,3000,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,210,3000,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,30,3000,10000,0,0,0,0
2.88e+06,2,12342.9,0.166667,120,3000,10000,0,0,0,0
2.4e+06,2.4,8307.69,0.15,180,0,0,0,0,0,0
2.4e+06,2.4,8307.69,0.15,270,750,750,0,0,0,0
2.4e+06,2.4,8307.69,0.15,180,750,750,0,0,0,0
2.4e+06,2.4,8307.69,0.15,90,750,750,0,0,0,0
2.4e+06,2.4,8307.69,0.15,0,1500,750,0,0,1,1
2.4e+06,2.4,8307.69,0.15,90,1500,750,0,0,0,0
2.4e+06,2.4,8307.69,0.15,270,750,1500,0,0,0,0
2.4e+06,2.4,8307.69,0.15,90,750,1500,0,0,0,0
2.4e+06,2.4,8307.69,0.15,270,1500,1500,0,0,0,0
2.4e+06,2.4,8307.69,0.15,0,1500,1500,0,0,1,1
2.4e+06,2.4,8307.69,0.15,180,1500,4200,0,0,0,0
2.4e+06,2.4,8307.69,0.15,270,1500,4200,0,0,1,1
2.88e+06,2,12342.9,0.166667,270,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,750,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,750,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,1500,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,1500,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,1500,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,1500,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,1500,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,100,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,100,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,300,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,300,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,300,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,1500,3900,1,0.0564706,1,0
2.88e+06,2,12342.9,0.166667,180,1500,3900,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,1500,3900,1,0.0564706,1,0
2.88e+06,2,12342.9,0.166667,180,1500,4200,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,1700,4200,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,1700,4200,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,3000,3000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,3000,3000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,0,10000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,10000,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,10000,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,1500,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,1500,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,1500,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,8000,2500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,8000,2500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,1700,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,1700,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,1700,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,1700,8800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,8000,2800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,8000,2800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,9500,2500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,9500,2500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,180,9500,2500,1,0.0564706,1,0
2.88e+06,2,12342.9,0.166667,270,9500,2800,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,0,3000,10000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,90,3000,10000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,3000,10000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,270,10000,3000,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,240,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,300,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,120,0,0,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,240,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,300,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,120,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,210,750,750,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,330,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,30,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,60,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,210,100,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,150,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,60,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,60,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,300,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,210,300,1500,1,0.0564706,0,0
2.88e+06,2,12342.9,0.166667,150,300,1500,1,0.0564706,0,0
